number,Chinese entity name,entity binomial scientific name,Chinese sym,English sym,Chinese relation,English relation
2146,苹果树紫纹羽病,Helicobasidium mompa,浓烈的蘑菇味,Strong mushroom flavor,存在症状,ManifestAs
2147,苹果树紫纹羽病,Helicobasidium mompa,皮层腐烂,Cortical rot,存在症状,ManifestAs
2148,苹果树紫纹羽病,Helicobasidium mompa,木质部朽枯,Xylem decay,存在症状,ManifestAs
2149,苹果树紫纹羽病,Helicobasidium mompa,呈“鞘”状,Sheath-like,存在症状,ManifestAs
2150,苹果树紫纹羽病,Helicobasidium mompa,枝条节间缩短,Shortened internodes,存在症状,ManifestAs
2151,苹果树紫纹羽病,Helicobasidium mompa,叶片小,Small leaves,存在症状,ManifestAs
2152,苹果树紫纹羽病,Helicobasidium mompa,叶色发黄,Yellow leaves,存在症状,ManifestAs
2153,苹果树紫纹羽病,Helicobasidium mompa,叶柄和中脉发红,Red petiole and midrib,存在症状,ManifestAs
2154,苹果树紫纹羽病,Helicobasidium mompa,植株长势衰弱,Weak plant growth,存在症状,ManifestAs
2155,苹果树白绢病,Sclerotium rolfsii,白色菌丝,White mycelium,存在症状,ManifestAs
2156,苹果树白绢病,Sclerotium rolfsii,水渍状褐色病斑,Water-soaked brown spots,存在症状,ManifestAs
2157,苹果树白绢病,Sclerotium rolfsii,皮层腐烂,Cortical rot,存在症状,ManifestAs
2158,苹果树白绢病,Sclerotium rolfsii,溢出褐色汁液,Brown juice spilling,存在症状,ManifestAs
2159,苹果树白绢病,Sclerotium rolfsii,棕褐色或茶褐色油菜籽状的菌核,Brown or dark brown rapeseed-like sclerotia,存在症状,ManifestAs
2160,苹果树白绢病,Sclerotium rolfsii,枝梢节间缩短,Shortening of internodes,存在症状,ManifestAs
2161,苹果树白绢病,Sclerotium rolfsii,水渍状轮纹斑,Water-stained ring spots,存在症状,ManifestAs
2162,苹果树白绢病,Sclerotium rolfsii,果多且小,Many small fruits,存在症状,ManifestAs
2163,苹果圆斑根腐病,Phytophthora cactorum,分侧根呈黄褐色病,Lateral roots yellow-brown disease,存在症状,ManifestAs
2164,苹果圆斑根腐病,Phytophthora cactorum,发腐污气味,Putrid smell,存在症状,ManifestAs
2165,苹果苗立枯病,Rhizoctonia solani,种芽发霉腐烂,Seedlings moldy and rotten,存在症状,ManifestAs
2166,苹果苗立枯病,Rhizoctonia solani,缺苗断垅,Missing seedlings and broken ridges,存在症状,ManifestAs
2167,苹果苗立枯病,Rhizoctonia solani,茎叶腐烂,Stem and leaf rot,存在症状,ManifestAs
2168,苹果苗立枯病,Rhizoctonia solani,苗茎茎部变褐色,The stems of the seedlings turn brown,存在症状,ManifestAs
2169,苹果苗立枯病,Rhizoctonia solani,呈水渍状,Water-stained,存在症状,ManifestAs
2170,苹果苗立枯病,Rhizoctonia solani,根部腐烂,Root rot,存在症状,ManifestAs
2171,苹果泡斑病,Neofabraea malicorticis,小块病斑,Small lesions,存在症状,ManifestAs
2172,苹果泡斑病,Neofabraea malicorticis,呈深褐色疤状稍凹陷,Dark brown scar-like and slightly sunken,存在症状,ManifestAs
2173,苹果泡斑病,Neofabraea malicorticis,边缘呈暗紫色,Dark purple edges,存在症状,ManifestAs
2174,苹果泡斑病,Neofabraea malicorticis,褐色痂状坏死,Brown crusty necrosis,存在症状,ManifestAs
2175,苹果泡斑病,Neofabraea malicorticis,叶片卷曲皱缩,Leaves curl and shrink,存在症状,ManifestAs
2176,苹果毛根病,Phytophthora cambivora,叶片小而黄,Small and yellow leaves,存在症状,ManifestAs
2177,苹果毛根病,Phytophthora cambivora,植株枯死,Plant death,存在症状,ManifestAs
2178,苹果根癌病,Agrobacterium tumefaciens,灰白色大小不等的瘤状物,Grayish white tumors of varying sizes,存在症状,ManifestAs
2179,苹果根癌病,Agrobacterium tumefaciens,褐色至暗褐色,Brown to dark brown,存在症状,ManifestAs
2180,苹果根癌病,Agrobacterium tumefaciens,球形或扁球形,Spherical or oblate,存在症状,ManifestAs
2181,苹果根癌病,Agrobacterium tumefaciens,叶薄色黄,Thin yellow leaves,存在症状,ManifestAs
2182,苹果根癌病,Agrobacterium tumefaciens,结果少而小,Few and small results,存在症状,ManifestAs
2183,苹果根癌病,Agrobacterium tumefaciens,树体矮小,Short tree,存在症状,ManifestAs
2184,苹果根癌病,Agrobacterium tumefaciens,树势衰弱,Tree weakness,存在症状,ManifestAs
2185,苹果粗皮果病,Venturia inaequalis,粗糙的褐色木栓化病斑,Rough brown corky lesions,存在症状,ManifestAs
2186,苹果粗皮果病,Venturia inaequalis,精糙褐色木栓病斑,Rough brown cork spots,存在症状,ManifestAs
2187,苹果粗皮果病,Venturia inaequalis,星裂果症状,Star crack fruit symptoms,存在症状,ManifestAs
2188,苹果粗皮果病,Venturia inaequalis,提早落叶,Early leaf fall,存在症状,ManifestAs
2189,苹果绿皱果病,Venturia inaequalis,现水溃状不规则凹陷斑,Irregular sunken spots like water bursting,存在症状,ManifestAs
2190,苹果绿皱果病,Venturia inaequalis,凹凸不平,Uneven,存在症状,ManifestAs
2191,苹果绿皱果病,Venturia inaequalis,果形不整的畸形果,Deformed fruit with irregular shape,存在症状,ManifestAs
2192,苹果绿皱果病,Venturia inaequalis,呈铁锈色,Rusty,存在症状,ManifestAs
2193,苹果绿皱果病,Venturia inaequalis,凹陷条沟或丘状突起,Depression groove or hillock,存在症状,ManifestAs
2194,苹果绿皱果病,Venturia inaequalis,粗糙果锈,Rough fruit rust,存在症状,ManifestAs
2195,苹果绿皱果病,Venturia inaequalis,浓绿斑痕,Dark green spots,存在症状,ManifestAs
2196,苹果花叶病,Apple mosaic virus,边缘清晰,Clear edges,存在症状,ManifestAs
2197,苹果花叶病,Apple mosaic virus,鲜黄色,Bright yellow,存在症状,ManifestAs
2198,苹果花叶病,Apple mosaic virus,深绿与浅绿的色变,Dark green and light green color change,存在症状,ManifestAs
2199,苹果花叶病,Apple mosaic virus,边缘不清晰,The edge is not clear,存在症状,ManifestAs
2200,苹果花叶病,Apple mosaic virus,叶脉失绿黄化,Vein chlorosis,存在症状,ManifestAs
2201,苹果花叶病,Apple mosaic virus,较窄的黄化,Narrow yellowing,存在症状,ManifestAs
2202,苹果花叶病,Apple mosaic virus,整叶呈网纹状,The whole leaf is net-shaped,存在症状,ManifestAs
2203,苹果花叶病,Apple mosaic virus,鲜黄色环状或近环状斑纹,Bright yellow ring-shaped or nearly ring-shaped markings,存在症状,ManifestAs
2204,苹果皱叶病,Venturia inequalis,浅黄或深黄色斑纹,Light yellow or dark yellow markings,存在症状,ManifestAs
2205,苹果皱叶病,Venturia inequalis,花瓣畸形,Petal deformity,存在症状,ManifestAs
2206,苹果皱叶病,Venturia inequalis,红斑或环斑,Red spots or ring spots,存在症状,ManifestAs
2207,苹果皱叶病,Venturia inequalis,果实畸形,Fruit deformity,存在症状,ManifestAs
2208,苹果皱叶病,Venturia inequalis,痘斑,Acne spots,存在症状,ManifestAs
2209,苹果皱叶病,Venturia inequalis,不同形状的锈斑,Rust spots of different shapes,存在症状,ManifestAs
2210,苹果茎痘病,Aster yellows phytoplasma,茎痘斑,Stem pox,存在症状,ManifestAs
2211,苹果茎痘病,Aster yellows phytoplasma,叶脉变黄,Yellowing of leaf veins,存在症状,ManifestAs
2212,苹果茎痘病,Aster yellows phytoplasma,果实畸形,Fruit deformity,存在症状,ManifestAs
2213,苹果茎沟病,Neonectria ditissima,叶片小而硬,Small and hard leaves,存在症状,ManifestAs
2214,苹果茎沟病,Neonectria ditissima,色淡绿,Light green,存在症状,ManifestAs
2215,苹果茎沟病,Neonectria ditissima,落叶早,Early leaf fall,存在症状,ManifestAs
2216,苹果扁枝病,Venturia inaequalis,轻微的,Mild,存在症状,ManifestAs
2217,苹果扁枝病,Venturia inaequalis,线形凹陷或扁平,Linear depression or flattening,存在症状,ManifestAs
2218,苹果扁枝病,Venturia inaequalis,扁平带状,Flat ribbon,存在症状,ManifestAs
2219,苹果扁枝病,Venturia inaequalis,病果小而扁平,The fruit is small and flat,存在症状,ManifestAs
2220,苹果扁枝病,Venturia inaequalis,脐部凸出,Umbilical protrusion,存在症状,ManifestAs
2221,苹果扁枝病,Venturia inaequalis,果肉坚硬,Firm flesh,存在症状,ManifestAs
2222,苹果高接衰退病,Candidatus phytoplasma mali,坏死斑块,Necrotic plaque,存在症状,ManifestAs
2223,苹果高接衰退病,Candidatus phytoplasma mali,凹陷斑或纵向条沟,Depressions or longitudinal grooves,存在症状,ManifestAs
2224,苹果高接衰退病,Candidatus phytoplasma mali,叶片变小,The leaves become smaller,存在症状,ManifestAs
2225,苹果高接衰退病,Candidatus phytoplasma mali,叶背反卷,Leaf back curling,存在症状,ManifestAs
2226,苹果高接衰退病,Candidatus phytoplasma mali,不规则坏死斑,Irregular necrotic spots,存在症状,ManifestAs
2227,苹果高接衰退病,Candidatus phytoplasma mali,叶边缘坏死,Leaf margin necrosis,存在症状,ManifestAs
2228,苹果高接衰退病,Candidatus phytoplasma mali,不规则缺刻,Irregular notch,存在症状,ManifestAs
2229,苹果高接衰退病,Candidatus phytoplasma mali,叶片小而硬,Small and hard leaves,存在症状,ManifestAs
2230,苹果高接衰退病,Candidatus phytoplasma mali,由绿变紫,From green to purple,存在症状,ManifestAs
2231,苹果高接衰退病,Candidatus phytoplasma mali,向上正卷呈,Roll up,存在症状,ManifestAs
2232,苹果高接衰退病,Candidatus phytoplasma mali,灰白色不规则褪绿斑,Grayish white irregular chlorotic spots,存在症状,ManifestAs
2233,苹果高接衰退病,Candidatus phytoplasma mali,花芽数量增多,Increased number of flower buds,存在症状,ManifestAs
2234,苹果高接衰退病,Candidatus phytoplasma mali,大量结果,Lots of results,存在症状,ManifestAs
2235,苹果高接衰退病,Candidatus phytoplasma mali,果实小而扁,Small and flat fruit,存在症状,ManifestAs
2236,苹果高接衰退病,Candidatus phytoplasma mali,果肉坚硬,Firm flesh,存在症状,ManifestAs
2237,苹果锈果病,Gymnosporangium juniperi-virginianae,叶片背面反卷,Back of leaf curling,存在症状,ManifestAs
2238,苹果锈果病,Gymnosporangium juniperi-virginianae,不规则褐色木栓化锈斑,Irregular brown corky rust spots,存在症状,ManifestAs
2239,苹果锈果病,Gymnosporangium juniperi-virginianae,表面粗糙,Rough surface,存在症状,ManifestAs
2240,苹果锈果病,Gymnosporangium juniperi-virginianae,黑色坏死条纹或坏死点,Black necrotic streaks or spots,存在症状,ManifestAs
2241,苹果锈果病,Gymnosporangium juniperi-virginianae,褐色近圆形的突起溃疡斑,"Brown, nearly circular raised ulcers",存在症状,ManifestAs
2242,苹果锈果病,Gymnosporangium juniperi-virginianae,坏死的黑色微细条纹,Necrotic black fine streaks,存在症状,ManifestAs
2243,苹果锈果病,Gymnosporangium juniperi-virginianae,深绿色水渍状病灶,Dark green water-soaked lesions,存在症状,ManifestAs
2244,苹果锈果病,Gymnosporangium juniperi-virginianae,果实畸小,Small fruit,存在症状,ManifestAs
2245,苹果锈果病,Gymnosporangium juniperi-virginianae,萎缩易落,Atrophy and fall,存在症状,ManifestAs
2246,苹果锈果病,Gymnosporangium juniperi-virginianae,果肉僵硬,The flesh is stiff,存在症状,ManifestAs
2247,苹果锈果病,Gymnosporangium juniperi-virginianae,弧面突出,Curved surface,存在症状,ManifestAs
2248,苹果锈果病,Gymnosporangium juniperi-virginianae,果面凹凸不平,Uneven fruit surface,存在症状,ManifestAs
2249,苹果锈果病,Gymnosporangium juniperi-virginianae,锈条或锈斑,Rust streaks or rust spots,存在症状,ManifestAs
2250,苹果锈果病,Gymnosporangium juniperi-virginianae,锈斑上龟裂,Cracks on rust spots,存在症状,ManifestAs
2251,苹果锈果病,Gymnosporangium juniperi-virginianae,不着色的斑块,Unpigmented patches,存在症状,ManifestAs
2252,苹果锈果病,Gymnosporangium juniperi-virginianae,不着色的绿色小晕点,Uncolored green dots,存在症状,ManifestAs
2253,苹果锈果病,Gymnosporangium juniperi-virginianae,呈黄绿色,Yellowish green,存在症状,ManifestAs
2254,苹果锈果病,Gymnosporangium juniperi-virginianae,黄绿相间或浓淡不均的小斑点,Small spots of yellow and green or uneven shades,存在症状,ManifestAs
2255,苹果环斑果病,Apple ring spot virus,绒状覆盖物,Fleece Covering,存在症状,ManifestAs
2256,苹果环斑果病,Apple ring spot virus,不清晰的淡黄色斑,Unclear yellowish spots,存在症状,ManifestAs
2257,苹果环斑果病,Apple ring spot virus,形状不规则的淡褐色病斑,Irregularly shaped light brown spots,存在症状,ManifestAs
2258,苹果环斑果病,Apple ring spot virus,深褐色环,Dark brown ring,存在症状,ManifestAs
2259,苹果褪绿叶斑病,Mycosphaerella pomi,黄色斑驳,Yellow mottled,存在症状,ManifestAs
2260,苹果褪绿叶斑病,Mycosphaerella pomi,呈环斑或线纹斑,Ring spots or line spots,存在症状,ManifestAs
2261,苹果褪绿叶斑病,Mycosphaerella pomi,失绿或红褐色斑,Chlorosis or reddish brown spots,存在症状,ManifestAs
2262,苹果褪绿叶斑病,Mycosphaerella pomi,粗糙的锈斑,Rough rust spots,存在症状,ManifestAs
2263,苹果褪绿叶斑病,Mycosphaerella pomi,浅黑色的光滑环,Light black smooth ring,存在症状,ManifestAs
2264,苹果褪绿叶斑病,Mycosphaerella pomi,晕状或同心环,Halo or concentric rings,存在症状,ManifestAs
2265,苹果褪绿叶斑病,Mycosphaerella pomi,不完整的同心环,Incomplete concentric rings,存在症状,ManifestAs
2266,苹果根结线虫病,Meloidogyne hapla,新梢生长缓慢,Slow growth of new shoots,存在症状,ManifestAs
2267,苹果根结线虫病,Meloidogyne hapla,叶片变小,The leaves become smaller,存在症状,ManifestAs
2268,苹果根结线虫病,Meloidogyne hapla,叶色发黄,Yellow leaves,存在症状,ManifestAs
2269,苹果根结线虫病,Meloidogyne hapla,无光泽,Matt,存在症状,ManifestAs
2270,苹果根结线虫病,Meloidogyne hapla,叶缘卷曲,Curled leaf edges,存在症状,ManifestAs
2271,苹果根结线虫病,Meloidogyne hapla,呈缺水状,Water shortage,存在症状,ManifestAs
2272,苹果根结线虫病,Meloidogyne hapla,叶片干枯脱落,Leaves dry and fall off,存在症状,ManifestAs
2273,苹果根结线虫病,Meloidogyne hapla,结果少而小,Few and small results,存在症状,ManifestAs
2274,苹果根结线虫病,Meloidogyne hapla,枝短梢弱,Short branches and weak tips,存在症状,ManifestAs
2275,苹果树再植病,Pythium ultimum,根系生长受阻,Root growth is hindered,存在症状,ManifestAs
2276,苹果树再植病,Pythium ultimum,大量须根死亡,A large number of root tissues died,存在症状,ManifestAs
2277,苹果树再植病,Pythium ultimum,根系坏死,Root necrosis,存在症状,ManifestAs
2278,苹果树再植病,Pythium ultimum,顶端生长受阻,Apical growth stunted,存在症状,ManifestAs
2279,苹果树再植病,Pythium ultimum,枝条稀疏,Sparse branches,存在症状,ManifestAs
2280,苹果树再植病,Pythium ultimum,枝条木质部变黑,Blackening of branch wood,存在症状,ManifestAs
2281,苹果树再植病,Pythium ultimum,叶片淡绿,Light green leaves,存在症状,ManifestAs
2282,苹果小果病,Venturia inaequalis,新梢节间缩短,Shortening of internodes of new shoots,存在症状,ManifestAs
2283,苹果小果病,Venturia inaequalis,叶片狭小,Small leaves,存在症状,ManifestAs
2284,苹果小果病,Venturia inaequalis,病果呈淡红色,The diseased fruit is light red,存在症状,ManifestAs
2285,苹果枝腐病,Botryosphaeria dothidea,形成斑疹或疤斑,Formation of macules or scars,存在症状,ManifestAs
2286,苹果枝腐病,Botryosphaeria dothidea,枝干呈块瘤状突起,Tuberous protrusions on branches,存在症状,ManifestAs
2287,苹果枝腐病,Botryosphaeria dothidea,黑色坏死斑,Black necrotic spots,存在症状,ManifestAs
2288,苹果枝腐病,Botryosphaeria dothidea,呈橘黄色,Orange,存在症状,ManifestAs
2289,苹果枝腐病,Botryosphaeria dothidea,开裂卷起,Cracking and rolling up,存在症状,ManifestAs
2290,苹果枝腐病,Botryosphaeria dothidea,不规则的凹陷斑,Irregular sunken spots,存在症状,ManifestAs
2291,苹果枝腐病,Botryosphaeria dothidea,病斑边缘开裂,Cracks at the edge of the lesion,存在症状,ManifestAs
2292,苹果树粗皮病,Venturia inaequalis,小粒状病点,Small granular spots,存在症状,ManifestAs
2293,苹果树粗皮病,Venturia inaequalis,似轮纹状,Wheel-like,存在症状,ManifestAs
2294,苹果树粗皮病,Venturia inaequalis,色呈纵向开裂,Color longitudinal cracking,存在症状,ManifestAs
2295,苹果树粗皮病,Venturia inaequalis,斑点或皱缩,Spots or wrinkles,存在症状,ManifestAs
2296,苹果树粗皮病,Venturia inaequalis,粗糙暗褐色木栓区,Rough dark brown cork area,存在症状,ManifestAs
2297,苹果树粗皮病,Venturia inaequalis,果面似长癣状,The fruit surface is like ringworm,存在症状,ManifestAs
2298,苹果树粗皮病,Venturia inaequalis,木栓化斑,Corky spots,存在症状,ManifestAs
2299,苹果树粗皮病,Venturia inaequalis,树皮粗糙呈蛤蟆皮状,The bark is rough and toad-like,存在症状,ManifestAs
2300,苹果树粗皮病,Venturia inaequalis,结成棕黄色小,Small brownish yellow,存在症状,ManifestAs
2301,苹果树粗皮病,Venturia inaequalis,生有暗褐色的凝,Dark brown gel,存在症状,ManifestAs
2302,苹果树粗皮病,Venturia inaequalis,可见到暗褐色,Dark brown can be seen,存在症状,ManifestAs
2303,苹果树粗皮病,Venturia inaequalis,道环沟呈马,The road ring ditch is a horse,存在症状,ManifestAs
2304,苹果缺铁黄化症,Chlorosis,呈枯梢现象,The phenomenon of dead shoots,存在症状,ManifestAs
2305,苹果缺铁黄化症,Chlorosis,叶肉先变黄,The leaves turn yellow first,存在症状,ManifestAs
2306,苹果缺铁黄化症,Chlorosis,叶面呈绿色网纹着失绿,The leaves are green and chlorotic,存在症状,ManifestAs
2307,苹果缺铁黄化症,Chlorosis,整叶变为白色,The whole leaf turns white,存在症状,ManifestAs
2308,苹果缺铁黄化症,Chlorosis,叶缘枯焦,Leaf edges burn,存在症状,ManifestAs
2309,苹果小叶病,Mycoplasma-like organism,叶片狭小,Small leaves,存在症状,ManifestAs
2310,苹果小叶病,Mycoplasma-like organism,叶缘向上卷,Leaf margins curl upward,存在症状,ManifestAs
2311,苹果小叶病,Mycoplasma-like organism,质厚而脆,Thick and crispy,存在症状,ManifestAs
2312,苹果小叶病,Mycoplasma-like organism,叶片呈淡黄绿色,Light yellow green leaves,存在症状,ManifestAs
2313,苹果小叶病,Mycoplasma-like organism,叶细丛状簇生,Leaves in clusters,存在症状,ManifestAs
2314,苹果苦痘症,Botrytis cinerea,幼叶变畸形,Young leaves deformed,存在症状,ManifestAs
2315,苹果苦痘症,Botrytis cinerea,嫩梢枯死,Tender shoots die back,存在症状,ManifestAs
2316,苹果苦痘症,Botrytis cinerea,颜色较深的圆斑,Darker round spots,存在症状,ManifestAs
2317,苹果苦痘症,Botrytis cinerea,红色或绿色晕圈,Red or green halo,存在症状,ManifestAs
2318,苹果苦痘症,Botrytis cinerea,褐色凹陷病斑,Brown sunken spots,存在症状,ManifestAs
2319,苹果苦痘症,Botrytis cinerea,果肉坏死,Fruit pulp necrosis,存在症状,ManifestAs
2320,苹果苦痘症,Botrytis cinerea,圆锥形或半圆形,Conical or semicircular,存在症状,ManifestAs
2321,苹果痘斑症,Diplocarpon mali,疏密不均的小斑,Small spots of uneven density,存在症状,ManifestAs
2322,苹果痘斑症,Diplocarpon mali,现紫红色晕,Purple halo,存在症状,ManifestAs
2323,苹果软枝病,Sclerotium rolfsii,枝条柔软下垂,Soft and drooping branches,存在症状,ManifestAs
2324,苹果软枝病,Sclerotium rolfsii,大枝明显弯曲下垂,Large branches are obviously bent and drooping,存在症状,ManifestAs
2325,苹果软枝病,Sclerotium rolfsii,病树长势衰退,Diseased trees decline in growth,存在症状,ManifestAs
2326,苹果大果海棠鳞皮病,Venturia inaequalis,粗糙的鱼鳞状病斑,Rough scaly patches,存在症状,ManifestAs
2327,苹果疱皮病,Venturia inaequalis,枯黄色至淡黄色的鳞片状病斑,Yellow to pale yellow scaly lesions,存在症状,ManifestAs
2328,苹果疱皮病,Venturia inaequalis,水浸状,Waterlogged,存在症状,ManifestAs
2329,苹果疱皮病,Venturia inaequalis,病斑呈带状或环纹状,The lesions are band-shaped or ring-shaped,存在症状,ManifestAs
2330,苹果水心症,Venturia inaequalis,果皮呈水渍状,Water-soaked peel,存在症状,ManifestAs
2331,苹果水心症,Venturia inaequalis,透明似蜡,Transparent like wax,存在症状,ManifestAs
2332,苹果缺镁症,Chlorosis,软而薄的淡绿色叶片,"Soft, thin, light green leaves",存在症状,ManifestAs
2333,苹果缺镁症,Chlorosis,黄褐色或深褐色,Tan or dark brown,存在症状,ManifestAs
2334,苹果缺镁症,Chlorosis,开花受抑,Flowering inhibition,存在症状,ManifestAs
2335,苹果缺镁症,Chlorosis,果小味差,"Small fruit, poor taste",存在症状,ManifestAs
2336,苹果缺氮症,Nitrogen deficiency,枝梢短小细弱,Short and thin branches,存在症状,ManifestAs
2337,苹果缺氮症,Nitrogen deficiency,呈红褐色,Reddish brown,存在症状,ManifestAs
2338,苹果缺氮症,Nitrogen deficiency,带紫色,Purple,存在症状,ManifestAs
2339,苹果缺氮症,Nitrogen deficiency,叶脉及,Leaf veins and,存在症状,ManifestAs
2340,苹果缺氮症,Nitrogen deficiency,叶柄呈红色,Red petiole,存在症状,ManifestAs
2341,苹果缺氮症,Nitrogen deficiency,果实小而早熟,Small fruit and early maturity,存在症状,ManifestAs
2342,苹果缺钾症,Apple potassium deficiency,叶缘失绿呈黄色,The leaf margins turn yellow,存在症状,ManifestAs
2343,苹果缺钾症,Apple potassium deficiency,常向上卷曲,Often curled upward,存在症状,ManifestAs
2344,苹果缺钾症,Apple potassium deficiency,叶缘失绿部分变褐枯焦,The leaf edges lose their green color and turn brown and scorched,存在症状,ManifestAs
2345,苹果缺钾症,Apple potassium deficiency,整叶枯焦,Whole leaf scorch,存在症状,ManifestAs
2346,苹果缺钾症,Apple potassium deficiency,叶边枯焦,Leaf edges burn,存在症状,ManifestAs
2347,苹果缺钾症,Apple potassium deficiency,红褐色晕带,Reddish brown halo,存在症状,ManifestAs
2348,苹果缺钾症,Apple potassium deficiency,叶缘枯焦,Leaf edges burn,存在症状,ManifestAs
2349,苹果缺钾症,Apple potassium deficiency,黑色小粒点,Black small dots,存在症状,ManifestAs
2350,苹果缺硼缩果症,Borago officinalis,叶片淡黄色,Light yellow leaves,存在症状,ManifestAs
2351,苹果缺硼缩果症,Borago officinalis,叶脉淡红色,Leaf veins light red,存在症状,ManifestAs
2352,苹果缺硼缩果症,Borago officinalis,不规则坏死斑,Irregular necrotic spots,存在症状,ManifestAs
2353,苹果缺硼缩果症,Borago officinalis,褐色坏死斑点,Brown necrotic spots,存在症状,ManifestAs
2354,苹果缺硼缩果症,Borago officinalis,叶片狭小,Small leaves,存在症状,ManifestAs
2355,苹果缺硼缩果症,Borago officinalis,大量落花,A lot of falling flowers,存在症状,ManifestAs
2356,苹果缺硼缩果症,Borago officinalis,花蕾不开放,Buds not opening,存在症状,ManifestAs
2357,苹果缺硼缩果症,Borago officinalis,变黄脱落,Yellowing and falling off,存在症状,ManifestAs
2358,苹果缺硼缩果症,Borago officinalis,圆形红褐色斑点,Round reddish brown spots,存在症状,ManifestAs
2359,苹果缺硼缩果症,Borago officinalis,果肉呈水渍状,The flesh is water-soaked,存在症状,ManifestAs
2360,苹果缺硼缩果症,Borago officinalis,褐色至暗褐色,Brown to dark brown,存在症状,ManifestAs
2361,苹果缺硼缩果症,Borago officinalis,病斑干缩凹陷裂开,"The lesions shrink, sag and crack",存在症状,ManifestAs
2362,苹果缺硼缩果症,Borago officinalis,果肉呈水演状,The flesh is watery,存在症状,ManifestAs
2363,苹果缺硼缩果症,Borago officinalis,果肉松软呈海绵状,The flesh is soft and spongy,存在症状,ManifestAs
2364,苹果缺硼缩果症,Borago officinalis,果肉呈海绵状,The flesh is spongy,存在症状,ManifestAs
2365,苹果缺硼缩果症,Borago officinalis,褐色细密横形条纹锈斑,Brown fine horizontal stripes rust,存在症状,ManifestAs
2366,苹果缺硼缩果症,Borago officinalis,锈斑干裂,Rust cracking,存在症状,ManifestAs
2367,苹果缺硼缩果症,Borago officinalis,肉质松软,Soft meat,存在症状,ManifestAs
2368,苹果缺钙症,Bitter pit,根尖生长停滞或枯死,Root tip growth stagnation or death,存在症状,ManifestAs
2369,苹果缺钙症,Bitter pit,出现淡绿色或棕黄色的退,Light green or brownish yellow discoloration,存在症状,ManifestAs
2370,苹果缺钙症,Bitter pit,棕褐色或绿褐,Tan or greenish brown,存在症状,ManifestAs
2371,苹果缺钙症,Bitter pit,有时叶和焦边下向,Sometimes leaves and focal edges turn downward,存在症状,ManifestAs
2372,苹果缺锰症,Apple manganese deficiency syndrome,叶片大部分变黄,Most of the leaves turn yellow,存在症状,ManifestAs
2373,苹果缺锰症,Apple manganese deficiency syndrome,叶脉全叶变黄,The veins of the leaves turn yellow,存在症状,ManifestAs
2374,苹果果锈,Venturia inaequalis,金属锈状的木栓层,Metal rust-like cork layer,存在症状,ManifestAs
2375,苹果青霉病,Penicillium expansum,淡黄色或淡褐色圆形水渍状病斑,Light yellow or light brown circular water-soaked spots,存在症状,ManifestAs
2376,苹果青霉病,Penicillium expansum,小瘤状霉块,Tumor-like mold,存在症状,ManifestAs
2377,苹果青霉病,Penicillium expansum,菌丝初白色,Mycelium initially white,存在症状,ManifestAs
2378,苹果青霉病,Penicillium expansum,青绿色粉状物,Green powder,存在症状,ManifestAs
2379,苹小食心虫,Grapholitha inopinata,黑褐色虫疤,Dark brown worm scar,存在症状,ManifestAs
2380,苹小食心虫,Grapholitha inopinata,红褐色,Reddish brown,存在症状,ManifestAs
2381,苹果小卷蛾,Cydia pomonella,肉虫斑成,Meatworms,存在症状,ManifestAs
2382,苹果小卷蛾,Cydia pomonella,果面,Fruit Noodles,存在症状,ManifestAs
2383,苹果小卷蛾,Cydia pomonella,呈片状凹大伤疤,"Large, concave scars",存在症状,ManifestAs
2384,苹褐卷叶蛾,Pandemis cerasana,呈不规则形凹疤,Irregular shaped scar,存在症状,ManifestAs
2385,桑褐刺蛾,Setora postornata,缺刻状,Notch,存在症状,ManifestAs
2386,桑褶翅尺蠖,Zamacra excavata,造成大量,Cause a lot of,存在症状,ManifestAs
2387,苹果蠹蛾,Cydia pomonella,豆沙馅状,Red bean paste,存在症状,ManifestAs
2388,盗毒蛾,Porthesia similis,缺刻或孔洞,Notches or holes,存在症状,ManifestAs
2389,盗毒蛾,Porthesia similis,仅留叶脉,Only the veins remain,存在症状,ManifestAs
2390,苹果透翅蛾,Synanthedon hector,不规则的隧道,Irregular tunnel,存在症状,ManifestAs
2391,苹果透翅蛾,Synanthedon hector,红褐色粪屑,Reddish brown feces,存在症状,ManifestAs
2392,柳干木蠹蛾,Holcocerus vicarius,不规则的隧道,Irregular tunnel,存在症状,ManifestAs
2393,柳干木蠹蛾,Holcocerus vicarius,削弱树势,Weakening the tree,存在症状,ManifestAs
2394,淡褐巢蛾,Yponomeuta cagnagella,呈纱网状,Gauze mesh,存在症状,ManifestAs
2395,金纹细蛾,Lithocolletis ringoniella,椭圆形的虫斑,Oval worm spots,存在症状,ManifestAs
2396,金纹细蛾,Lithocolletis ringoniella,叶背表皮皱缩,Leaf back skin wrinkled,存在症状,ManifestAs
2397,金纹细蛾,Lithocolletis ringoniella,叶片向背面弯折,Leaves bend toward the back,存在症状,ManifestAs
2398,金纹细蛾,Lithocolletis ringoniella,黄绿色网眼状虫斑,Yellow-green mesh-like spots,存在症状,ManifestAs
2399,苹果瘤蚜,Myzus malus,边缘向叶背纵卷,Edges rolled longitudinally toward the back of the leaf,存在症状,ManifestAs
2400,苹果瘤蚜,Myzus malus,略凹陷的红斑,Slightly depressed erythema,存在症状,ManifestAs
