entity,part,relation
南瓜病毒病,蕨叶,危害部位
南瓜斑点病,叶片,危害部位
南瓜斑点病,花轴,危害部位
南瓜黑斑病,叶片,危害部位
南瓜黑斑病,果实,危害部位
南瓜炭疽病,幼苗,危害部位
南瓜炭疽病,茎或,危害部位
南瓜炭疽病,叶柄,危害部位
南瓜炭疽病,果实,危害部位
南瓜蔓枯病,叶片,危害部位
南瓜蔓枯病,茎蔓,危害部位
南瓜蔓枯病,果实,危害部位
南瓜银叶病,叶片,危害部位
南瓜银叶病,果实,危害部位
飞碟瓜蔓枯病,叶片,危害部位
飞碟瓜蔓枯病,茎蔓,危害部位
飞碟瓜蔓枯病,果实,危害部位
辣椒立枯病,幼苗,危害部位
辣椒根腐病,种子,危害部位
辣椒疮痂病,幼苗,危害部位
辣椒疮痂病,成株,危害部位
辣椒病毒病,花叶型,危害部位
辣椒白斑病,叶片,危害部位
辣椒白斑病,茎部,危害部位
辣椒霜霉病,叶片,危害部位
辣椒霜霉病,叶柄,危害部位
辣椒霜霉病,嫩茎,危害部位
茄子棒孢叶斑病,叶片,危害部位
茄子棒孢叶斑病,茎基部,危害部位
茄子棒孢叶斑病,果实,危害部位
茄子褐纹病,苗期,危害部位
茄子褐纹病,成株,危害部位
茄子褐纹病,茎枝,危害部位
茄子褐纹病,果实,危害部位
茄子褐纹病,种子,危害部位
茄子叶霉病,叶片,危害部位
茄子叶霉病,叶柄,危害部位
茄子叶霉病,茎部,危害部位
茄子叶霉病,果实,危害部位
茄子灰霉病,苗期,危害部位
茄子灰霉病,成株,危害部位
茄子菌核病,苗期,危害部位
茄子菌核病,叶片,危害部位
茄子菌核病,茎部,危害部位
茄子菌核病,花蕾,危害部位
茄子菌核病,花柄,危害部位
茄子菌核病,果实,危害部位
茄子绵疫病,幼苗,危害部位
茄子绵疫病,果实,危害部位
茄子绵疫病,叶片,危害部位
茄子绵疫病,嫩枝,危害部位
茄子青枯病,整株,危害部位
茄子青枯病,茎基部,危害部位
茄子黑枯病,叶片,危害部位
茄子黑枯病,果梗,危害部位
茄子黑枯病,果实,危害部位
茄子拟黑斑病,叶片,危害部位
茄子拟黑斑病,果实,危害部位
茄子果实疫病,苗期,危害部位
茄子果实疫病,果实,危害部位
茄子花腐病,果实,危害部位
茄子细菌性褐斑病,叶片,危害部位
茄子细菌性褐斑病,花蕾,危害部位
茄子细菌性褐斑病,嫩枝,危害部位
茄子细菌性褐斑病,果实,危害部位
黄瓜霜霉病,子叶,危害部位
黄瓜霜霉病,叶片,危害部位
黄瓜疫病,茎基部,危害部位
黄瓜黑星病,叶片,危害部位
黄瓜黑星病,茎蔓,危害部位
黄瓜黑星病,瓜条,危害部位
黄瓜黑星病,卷须,危害部位
黄瓜黑星病,整株,危害部位
黄瓜灰色疫病,叶片,危害部位
黄瓜灰色疫病,茎蔓,危害部位
黄瓜灰色疫病,瓜条,危害部位
黄瓜枯萎病,幼苗,危害部位
黄瓜枯萎病,叶片,危害部位
黄瓜枯萎病,根和茎,危害部位
黄瓜蔓枯病,茎蔓,危害部位
黄瓜蔓枯病,叶片,危害部位
黄瓜蔓枯病,果实,危害部位
黄瓜猝倒病,幼苗,危害部位
黄瓜猝倒病,瓜条,危害部位
黄瓜立枯病,茎基部,危害部位
黄瓜立枯病,根部,危害部位
黄瓜立枯病,整株,危害部位
黄瓜菌核病,茎蔓,危害部位
黄瓜菌核病,叶柄,危害部位
黄瓜菌核病,幼果,危害部位
黄瓜菌核病,瓜条,危害部位
黄瓜细菌性角斑病,叶片,危害部位
黄瓜细菌性角斑病,果实,危害部位
黄瓜细菌性角斑病,卷须,危害部位
黄瓜炭疽病,幼苗,危害部位
黄瓜炭疽病,成株,危害部位
黄瓜灰霉病,叶片,危害部位
黄瓜根腐病,根和,危害部位
黄瓜根腐病,根茎部,危害部位
黄瓜细菌性缘枯病,叶片,危害部位
黄瓜细菌性缘枯病,叶柄,危害部位
黄瓜细菌性缘枯病,卷须,危害部位
黄瓜细菌性缘枯病,瓜条,危害部位
黄瓜病毒病,叶片,危害部位
黄瓜病毒病,植株,危害部位
黄瓜幼苗腐霉根腐病,幼苗期,危害部位
西葫芦黑星病,叶片,危害部位
西葫芦黑星病,果实,危害部位
茼蒿炭疽病,叶片,危害部位
芫荽立枯病,幼苗,危害部位
芫荽立枯病,大苗,危害部位
芫荽叶斑病,叶片,危害部位
芫荽叶斑病,叶柄,危害部位
芫荽株腐病,苗期,危害部位
芫荽白粉病,叶片,危害部位
番茄早疫病,叶片,危害部位
番茄早疫病,叶柄,危害部位
番茄早疫病,茎部,危害部位
番茄早疫病,果实,危害部位
番茄晚疫病,叶片,危害部位
番茄晚疫病,茎部,危害部位
番茄晚疫病,果实,危害部位
番茄叶霉病,叶片,危害部位
番茄叶霉病,茎部,危害部位
番茄叶霉病,花果,危害部位
番茄灰叶斑病,叶片,危害部位
番茄灰叶斑病,花朵,危害部位
番茄灰叶斑病,果实,危害部位
番茄灰斑病,叶部,危害部位
番茄灰斑病,茎部,危害部位
番茄灰斑病,果实,危害部位
番茄煤污病,叶片,危害部位
番茄煤污病,果实,危害部位
番茄斑枯病,叶片,危害部位
番茄斑枯病,叶柄和茎,危害部位
番茄斑枯病,果实,危害部位
番茄灰霉病,幼苗,危害部位
番茄灰霉病,叶片,危害部位
番茄灰霉病,茎部,危害部位
番茄灰霉病,果实,危害部位
番茄灰霉病,花萼,危害部位
番茄白绢病,茎基部,危害部位
番茄白绢病,果实,危害部位
番茄绵疫病,果实,危害部位
番茄绵疫病,叶片,危害部位
番茄红粉病,果实,危害部位
番茄红粉病,叶片,危害部位
番茄茎基腐病,苗期,危害部位
番茄丛枝病,植株,危害部位
番茄丛枝病,叶片,危害部位
番茄丛枝病,果实,危害部位
番茄菌核病,叶部,危害部位
番茄菌核病,茎部,危害部位
番茄菌核病,果实,危害部位
番茄疫霉根腐病,苗期,危害部位
番茄细菌性斑疹病,叶部,危害部位
番茄细菌性斑疹病,果实,危害部位
番茄细菌性斑疹病,花蕾,危害部位
番茄细菌性斑疹病,茎部,危害部位
番茄细菌性斑疹病,叶柄,危害部位
番茄溃疡病,幼苗,危害部位
番茄溃疡病,成株,危害部位
番茄溃疡病,果实,危害部位
番茄青枯病,叶片,危害部位
番茄青枯病,茎部,危害部位
番茄疮痂病,叶部,危害部位
番茄疮痂病,茎部,危害部位
番茄疮痂病,果实,危害部位
番茄细菌性髓部坏死病,叶片,危害部位
番茄细菌性髓部坏死病,茎部,危害部位
番茄细菌性髓部坏死病,果实,危害部位
番茄软腐病,果实,危害部位
番茄软腐病,茎杆,危害部位
番茄条斑病毒病,叶片,危害部位
番茄条斑病毒病,茎杆,危害部位
番茄条斑病毒病,果实,危害部位
番茄斑萎病毒病,苗期,危害部位
番茄斑萎病毒病,果实,危害部位
番茄根结线虫病,根部,危害部位
番茄圆纹病,叶片,危害部位
番茄圆纹病,果实,危害部位
番茄茎枯病,茎部,危害部位
番茄茎枯病,果实,危害部位
番茄茎枯病,叶片,危害部位
番茄变形果,多蕊果,危害部位
番茄变形果,椭圆形果,危害部位
番茄低温障碍和冻害,幼苗,危害部位
番茄低温障碍和冻害,成株,危害部位
番茄低温障碍和冻害,果实,危害部位
番茄高温障碍,叶片,危害部位
番茄高温障碍,花果,危害部位
番茄细菌性褐斑病,叶部,危害部位
番茄细菌性褐斑病,果实,危害部位
番茄细菌性褐斑病,花蕾,危害部位
番茄细菌性褐斑病,茎部,危害部位
番茄细菌性褐斑病,叶柄,危害部位
辣椒疫病,叶片,危害部位
辣椒疫病,果实,危害部位
辣椒早疫病,苗期,危害部位
辣椒早疫病,叶片,危害部位
辣椒灰霉病,叶片,危害部位
辣椒灰霉病,花器,危害部位
辣椒灰霉病,果实,危害部位
辣椒菌核病,幼苗,危害部位
菠菜病毒病,花叶型,危害部位
芹菜病毒病,苗期,危害部位
芹菜黄萎病,苗期,危害部位
芹菜叶斑病,叶片,危害部位
芹菜叶斑病,茎或,危害部位
芹菜叶斑病,叶柄,危害部位
莴笋灰霉病,苗期,危害部位
莴笋灰霉病,成株,危害部位
莴笋菌核病,叶片,危害部位
莴笋菌核病,茎部,危害部位
莴笋病毒病,苗期,危害部位
莴笋病毒病,成株,危害部位
莴笋褐斑病,叶片,危害部位
莴笋腐败病,叶片,危害部位
生菜褐斑病,叶片,危害部位
生菜病毒病,苗期,危害部位
生菜病毒病,成株,危害部位
苋菜炭疽病,叶片,危害部位
苋菜炭疽病,茎部,危害部位
落葵紫斑病,叶片,危害部位
落葵紫斑病,叶柄,危害部位
落葵紫斑病,茎杆,危害部位
落葵根结线虫病,叶部,危害部位
蕹菜白锈病,叶片,危害部位
蕹菜白锈病,茎部,危害部位
蕹菜灰霉病,叶片,危害部位
西葫芦绵疫病,叶片,危害部位
西葫芦绵疫病,茎蔓,危害部位
西葫芦绵疫病,果实,危害部位
西葫芦银叶病,叶片,危害部位
西葫芦银叶病,果实,危害部位
豌豆灰霉病,叶片,危害部位
豌豆灰霉病,果荚,危害部位
豌豆根串珠霉根腐病,叶片,危害部位
豌豆黑斑病,叶片,危害部位
豌豆黑斑病,叶柄,危害部位
豌豆黑斑病,茎蔓,危害部位
豌豆黑斑病,豆荚,危害部位
豌豆芽枯病,豆荚,危害部位
葡萄根朽病,根部,危害部位
葡萄根朽病,植株,危害部位
葡萄蔓割病,枝蔓,危害部位
葡萄蔓割病,叶片,危害部位
葡萄蔓割病,果实,危害部位
甜菜丛根病,根系,危害部位
甜菜丛根病,叶,危害部位
甜菜苗腐病,茎基,危害部位
甜菜苗腐病,叶片,危害部位
茶饼病,叶片,危害部位
茶圆赤星病,叶片,危害部位
茶圆赤星病,叶,危害部位
茶红锈藻病,枝干,危害部位
茶红锈藻病,叶片,危害部位
茶白星病,嫩叶,危害部位
茶白星病,叶,危害部位
茶白星病,及嫩,危害部位
茶云纹叶枯病,叶片,危害部位
茶云纹叶枯病,枝干,危害部位
茶云纹叶枯病,果实,危害部位
茶树苔藓、地衣,苔藓,危害部位
茶树苔藓、地衣,地衣,危害部位
烟草炭疽病,叶片,危害部位
烟草炭疽病,茎杆,危害部位
烟草炭疽病,花,危害部位
烟草菌核病,苗期,危害部位
烟草低头黑病,苗期,危害部位
烟草灰霉病,叶片,危害部位
烟草灰霉病,叶柄,危害部位
烟草灰霉病,茎杆,危害部位
烟草灰霉病,花器,危害部位
烟草斑点病,苗期,危害部位
烟草霜霉病,苗期,危害部位
烟草空胫病,苗期,危害部位
烟草黑胫病,幼苗,危害部位
烟草黑胫病,茎杆,危害部位
烟草黑胫病,叶片,危害部位
花生茎腐病,幼苗,危害部位
花生茎腐病,成株,危害部位
花生菌核病,叶片,危害部位
花生菌核病,茎部,危害部位
花生菌核病,荚果,危害部位
花生网斑病,叶片,危害部位
花生网斑病,叶柄,危害部位
油菜黑胫病,幼苗,危害部位
油菜黑胫病,叶片,危害部位
油菜黑胫病,根、茎,危害部位
油菜黑胫病,果荚,危害部位
油菜黑胫病,种子,危害部位
油菜立枯病,幼苗,危害部位
油菜菌核病,幼苗,危害部位
油菜菌核病,叶片,危害部位
油菜菌核病,茎部,危害部位
油菜菌核病,果荚,危害部位
油菜霜霉病,叶片,危害部位
油菜霜霉病,花梗,危害部位
油菜霜霉病,果荚,危害部位
油菜炭疽病,叶片,危害部位
油菜炭疽病,果荚,危害部位
油菜黑斑病,幼苗,危害部位
油菜黑斑病,叶片,危害部位
油菜黑斑病,果荚,危害部位
油菜黑腐病,叶片,危害部位
油菜黑腐病,果荚,危害部位
油菜软腐病,茎杆,危害部位
油菜细菌性黑斑病,叶片,危害部位
油菜病毒病,甘蓝,危害部位
油菜病毒病,白菜,危害部位
芝麻疫病,叶片,危害部位
芝麻疫病,茎杆,危害部位
芝麻叶枯病,叶片,危害部位
芝麻叶枯病,茎杆,危害部位
芝麻叶斑病,叶片,危害部位
芝麻叶斑病,茎部,危害部位
芝麻青枯病,茎杆,危害部位
芝麻青枯病,叶片,危害部位
芝麻细菌性角斑病,幼苗,危害部位
芝麻细菌性角斑病,叶片,危害部位
芝麻细菌性角斑病,茎杆,危害部位
向日葵菌核病,根腐,危害部位
向日葵菌核病,茎腐,危害部位
向日葵菌核病,叶腐,危害部位
向日葵黑斑病,叶片,危害部位
向日葵黑斑病,叶柄,危害部位
向日葵黑斑病,茎杆,危害部位
向日葵黑斑病,花瓣,危害部位
甘蔗赤腐病,茎秆,危害部位
甘蔗赤腐病,叶片,危害部位
甘蔗眼斑病,叶片,危害部位
甜菜立枯病,幼苗,危害部位
甜菜褐斑病,叶片,危害部位
甜菜褐斑病,叶,危害部位
甜菜褐斑病,和茎部,危害部位
亚麻炭疽病,子叶,危害部位
亚麻炭疽病,叶,危害部位
亚麻炭疽病,及茎部,危害部位
红麻炭疽病,幼苗,危害部位
红麻炭疽病,叶片,危害部位
红麻炭疽病,茎杆,危害部位
红麻炭疽病,花蕾,危害部位
红麻斑点病,子叶,危害部位
红麻斑点病,真叶,危害部位
红麻斑点病,茎杆,危害部位
红麻斑点病,蒴果,危害部位
红麻灰霉病,叶片,危害部位
红麻灰霉病,茎杆,危害部位
红麻灰霉病,花蕾,危害部位
黄麻根腐病,幼苗,危害部位
苎麻炭疽病,叶片,危害部位
苎麻炭疽病,叶柄,危害部位
苎麻炭疽病,茎杆,危害部位
苎麻褐斑病,叶片,危害部位
苎麻褐斑病,茎杆,危害部位
苎麻花叶病,花叶型,危害部位
大豆霜霉病,幼苗,危害部位
大豆霜霉病,叶片,危害部位
大豆霜霉病,豆荚,危害部位
大豆枯萎病,整株,危害部位
大豆枯萎病,根系,危害部位
大豆枯萎病,茎部,危害部位
大豆紫斑病,幼苗,危害部位
大豆紫斑病,叶片,危害部位
大豆紫斑病,茎杆,危害部位
大豆紫斑病,豆荚,危害部位
大豆紫斑病,种子,危害部位
大豆灰斑病,幼苗,危害部位
大豆灰斑病,叶片,危害部位
大豆灰斑病,茎杆,危害部位
大豆灰斑病,豆荚,危害部位
大豆灰斑病,种子,危害部位
大豆褐斑病,叶片,危害部位
大豆褐斑病,叶柄,危害部位
大豆褐斑病,豆荚,危害部位
大豆纹枯病,叶片,危害部位
大豆羞萎病,幼苗,危害部位
大豆轮纹病,子叶,危害部位
大豆轮纹病,叶片,危害部位
大豆轮纹病,叶柄,危害部位
大豆轮纹病,茎部,危害部位
大豆荚枯病,豆荚,危害部位
大豆疫病,苗期,危害部位
大豆疫病,成株,危害部位
大豆疫病,豆荚,危害部位
大豆炭疽病,幼苗,危害部位
大豆炭疽病,叶片,危害部位
大豆炭疽病,茎杆,危害部位
大豆炭疽病,豆荚,危害部位
大豆黑点病,茎秆,危害部位
大豆黑点病,豆荚,危害部位
大豆细菌性斑点病,幼苗,危害部位
大豆细菌性斑点病,叶片,危害部位
大豆细菌性斑点病,豆荚,危害部位
大豆细菌性斑点病,籽粒,危害部位
大豆细菌性斑疹病,叶片,危害部位
大豆细菌性斑疹病,豆荚,危害部位
高粱炭疽病,幼苗,危害部位
高粱炭疽病,叶片,危害部位
高粱炭疽病,叶鞘,危害部位
高粱炭疽病,穗部,危害部位
高粱柱黑粉病,叶片,危害部位
高粱柱黑粉病,茎秆,危害部位
高粱柱黑粉病,穗部,危害部位
高粱镰刀菌穗腐病,穗部,危害部位
高粱镰刀菌穗腐病,叶片,危害部位
高粱镰刀菌穗腐病,茎秆,危害部位
高粱紫斑病,叶片,危害部位
高粱紫斑病,叶鞘,危害部位
高粱紫轮病,叶片,危害部位
高粱紫轮病,叶鞘,危害部位
粟白发病,烂芽,危害部位
粟胡麻斑病,叶片,危害部位
粟胡麻斑病,叶鞘,危害部位
粟胡麻斑病,颖壳,危害部位
甘薯疮痂病,叶片,危害部位
甘薯疮痂病,叶柄,危害部位
甘薯疮痂病,嫩梢,危害部位
甘薯疮痂病,薯块,危害部位
甘薯黑斑病,苗期,危害部位
甘薯瘟病,苗期,危害部位
甘薯瘟病,薯块,危害部位
甘薯病毒病,叶片,危害部位
甘薯病毒病,薯块,危害部位
甘薯茎线虫病,幼苗,危害部位
甘薯茎线虫病,茎蔓,危害部位
甘薯茎线虫病,薯块,危害部位
马铃薯早疫病,叶片,危害部位
马铃薯早疫病,块茎,危害部位
马铃薯晚疫病,叶片,危害部位
马铃薯晚疫病,薯块,危害部位
马铃薯晚疫病,茎部,危害部位
马铃薯黑胫病,薯块,危害部位
马铃薯黑胫病,幼苗,危害部位
马铃薯粉痂病,块茎,危害部位
马铃薯粉痂病,根部,危害部位
棉花炭疽病,苗期,危害部位
棉花红腐病,苗期,危害部位
棉花枯萎病,苗期,危害部位
棉花枯萎病,成株,危害部位
棉花疫病,苗期,危害部位
棉花疫病,铃期,危害部位
棉花茎枯病,叶片,危害部位
棉花茎枯病,叶柄,危害部位
棉花茎枯病,茎杆,危害部位
棉花茎枯病,棉铃,危害部位
棉花角斑病,幼苗,危害部位
棉花角斑病,叶片,危害部位
棉花角斑病,茎杆,危害部位
棉花角斑病,棉铃,危害部位
大麦条纹病,苗期,危害部位
大麦条纹病,成株,危害部位
黄麻苗枯病,幼苗,危害部位
黄麻黑点炭疽病,幼苗,危害部位
黄麻黑点炭疽病,叶片,危害部位
黄麻黑点炭疽病,茎杆,危害部位
黄麻叶枯病,叶片,危害部位
黄麻叶枯病,茎杆,危害部位
黄麻茎斑病,子叶,危害部位
黄麻茎斑病,真叶,危害部位
黄麻茎斑病,茎杆,危害部位
玉米疯顶病,苗,危害部位
玉米茎腐病,根,危害部位
玉米茎腐病,叶片,危害部位
玉米圆斑病,叶片,危害部位
玉米圆斑病,穗部,危害部位
玉米圆斑病,叶鞘,危害部位
玉米干腐病,穗部,危害部位
玉米干腐病,茎秆,危害部位
玉米干腐病,叶片,危害部位
玉米丝黑穗病,叶片,危害部位
玉米丝黑穗病,雄穗,危害部位
玉米丝黑穗病,雌穗,危害部位
黄麻炭疽病,幼苗,危害部位
黄麻炭疽病,叶片,危害部位
黄麻炭疽病,茎杆,危害部位
黄麻枯腐病,苗期,危害部位
黄麻枯腐病,叶片,危害部位
黄麻枯腐病,茎部,危害部位
黄麻枯腐病,根部,危害部位
向日葵褐斑病,子叶,危害部位
向日葵褐斑病,叶片,危害部位
向日葵褐斑病,叶柄,危害部位
向日葵白粉病,叶片,危害部位
向日葵白粉病,茎杆,危害部位
向日葵霜霉病,叶片,危害部位
向日葵细菌性茎腐病,茎杆,危害部位
向日葵细菌性茎腐病,花盘,危害部位
葱炭疽病,叶片,危害部位
葱炭疽病,鳞茎,危害部位
葱黄矮病,大葱,危害部位
葱黄矮病,洋,危害部位
大白菜霜霉病,幼苗,危害部位
大白菜霜霉病,成株,危害部位
大白菜霜霉病,种荚,危害部位
大白菜黑斑病,叶片,危害部位
大白菜黑斑病,叶柄,危害部位
青花菜黑胫病,苗期,危害部位
青花菜黑胫病,成株,危害部位
玉米条纹矮缩病,整株,危害部位
玉米条纹矮缩病,叶片,危害部位
大白菜黑胫病,幼苗,危害部位
大白菜黑胫病,成株,危害部位
青花菜霜霉病,幼苗,危害部位
青花菜霜霉病,叶片,危害部位
青花菜霜霉病,花球,危害部位
青花菜灰霉病,苗期,危害部位
青花菜灰霉病,成株,危害部位
稻瘟病,苗瘟,危害部位
稻瘟病,叶瘟,危害部位
稻瘟病,谷粒瘟,危害部位
水稻恶苗病,苗期,危害部位
水稻菌核秆腐病,茎秆,危害部位
水稻菌核秆腐病,叶鞘,危害部位
水稻纹枯病,叶鞘,危害部位
水稻纹枯病,叶片,危害部位
水稻胡麻斑病,幼芽,危害部位
水稻胡麻斑病,叶片,危害部位
水稻胡麻斑病,穗部,危害部位
水稻东格鲁病毒病,叶片,危害部位
水稻倒伏,叶片,危害部位
水稻霜霉病,幼苗,危害部位
水稻窄条斑病,叶片,危害部位
水稻窄条斑病,叶鞘,危害部位
水稻窄条斑病,茎秆,危害部位
水稻窄条斑病,穗部,危害部位
水稻窄条斑病,谷粒,危害部位
水稻叶尖枯病,叶片,危害部位
水稻叶尖枯病,谷粒,危害部位
水稻白叶枯病,叶枯,危害部位
水稻细菌性褐斑病,叶片,危害部位
水稻细菌性褐斑病,叶鞘,危害部位
水稻细菌性褐斑病,穗部,危害部位
水稻黑条矮缩病,根部,危害部位
水稻黑条矮缩病,叶,危害部位
水稻黑条矮缩病,穗,危害部位
水稻根结线虫病,根部,危害部位
小麦秆枯病,苗期,危害部位
小麦全蚀病,苗期,危害部位
小麦条锈病,苗期,危害部位
小麦霜霉病,苗期,危害部位
小麦霜霉病,穗期,危害部位
小麦雪霉叶枯病,芽腐,危害部位
小麦雪霉叶枯病,基腐,危害部位
小麦雪霉叶枯病,叶枯,危害部位
小麦雪霉叶枯病,穗腐,危害部位
小麦白秆病,叶片,危害部位
小麦白秆病,茎,危害部位
小麦白秆病,穗部,危害部位
小麦根腐病,幼苗,危害部位
小麦根腐病,根部,危害部位
小麦根腐病,叶片,危害部位
小麦根腐病,茎节,危害部位
小麦根腐病,穗部,危害部位
小麦赤霉病,苗腐,危害部位
小麦赤霉病,茎基腐,危害部位
小麦赤霉病,秆腐,危害部位
小麦赤霉病,穗腐,危害部位
小麦颖枯病,穗部,危害部位
小麦颖枯病,茎节,危害部位
小麦颖枯病,叶片,危害部位
小麦黑颖病,穗部,危害部位
小麦黑颖病,叶片,危害部位
小麦黑颖病,茎秆,危害部位
小麦黑颖病,穗轴,危害部位
