entity,english
甜瓜细菌性叶枯病,Muskmelon bacterial leaf spot
甜瓜病毒病,Muskmelon virus disease
甜瓜立枯病,Muskmelon Rhizoctonia rot
甜瓜黑点根腐病,nan
甜瓜炭腐病,Muskmelon Macrophomina rot
甜瓜萎蔫病,Muskmelon bacterial wilt
甜瓜黑斑病,Muskmelon Alternaria spot
甜瓜红粉病,Muskmelon pind mold rot
甜瓜丝核菌果腐病,Muskmelon Rhizoctonia fruit rot
甜瓜镰刀菌果腐病,Muskmelon Fusarium fruit rot
甜瓜细菌性角斑病,Muskmelon angular leaf spot
甜瓜塌秧,nan
甜瓜细菌性叶斑病,nan
甜瓜煤污病,Muskmelon Cerospora
甜瓜瓜笄霉果腐病,Muskmelon fruit rot
烟青虫,Tobacco budworm
银纹夜蛾,"Threespotted plusia,Mentha semilooper"
甜菜夜蛾,Beet armyworm
黄曲条跳甲,striped flea beetle
马铃薯瓢虫,twenty-eight-spotted ladybird，Potato lady beetle
番茄斑潜蝇,Tomato leafminer
瓜实蝇,Melon fly
油葫芦,Field cricket
黑绒金龟,Smaller velvety chafer
苹果树腐烂病,Apple canker
苹果树干腐病,Apple black fruit rot
豌豆炭疽病,Pea anthracnose
豌豆花叶病,Pea mosaic 
豆秆黑潜蝇,Soybean fly
豌豆细菌性叶斑病,Pea bacterial leaf blight
豌豆彩潜蝇,Vegetable leafminer，Pea leaf miner
端大蓟马,Peanut thrips
花蓟马,flower thrips
豌豆象,Pea weevil
条蜂缘蝽,Legume pod bug
豇豆荚螟,Bean pod borer
豆荚斑螟,Limabean pod borer
肾毒蛾,Pear tussock moth
豌豆修尾蚜,Vicia aphid
豆蚜,Cowpea aphid
扁豆褐斑病,Hyacinth dolichos brown spot
扁豆角斑病,Hyacinth dolichos angular leaf spot
扁豆花腐病,Hyacinth dolichos blossom rot
扁豆炭疽病,Hyacinth dolichos anthracnose
扁豆茎枯病,Hyacinth dolichos stem blight
扁豆细菌性疫病,Hyacinth dolichos bacterial common blight
扁豆立枯病,Hyacinth dolichos Rhizoctonia rot
扁豆红斑病,Hyacinth dolichos Cercospora leaf spot
扁豆锈病,Hyacinth dolichos rust
扁豆黑斑病,Hyacinth dolichos Alternaria blight
扁豆斑点病,Hyacinth dolichos Phyllosticta leaf spot
扁豆淡褐斑病,Hyacinth dolichos Ascochyta blight
扁豆轮纹斑病,Hyacinth dolichos zonate spot
扁豆绵疫病,Hyacinth dolichos brown rot
扁豆白绢病,nan
扁豆枯萎病,nan
扁豆菌核病,nan
扁豆病毒病,nan
扁豆羽蛾,bonavist plume moth
扁豆夜蛾,nan
豆卷叶螟,Bean leaf webber
草地螟,Beet webworm
绿豆象,Chinese cowpea bruchid
扁豆小灰蝶,Beam butterfly
灰巴蜗牛,Taper top snail
蚕豆锈病,Broad bean rust
蚕豆褐斑病,Broad bean brown spot
蚕豆赤斑病,Broad bean chocolate spot
蚕豆疫病,Broad Bean Phytophthora blight
蚕豆白粉病,Broad bean powdery milde
蚕豆茎基腐病,Broad bean stem wilt
蚕豆油壶火肿病,Broad Bean Olpidium blight
蚕豆根腐病,Broad bean Thielaviopsis root rot
蚕豆枯萎病,Broad bean Fusarium wilt
蚕豆炭疽病,Broad bean anthracnose
蚕豆霜霉病,Broad bean downy milde
蚕豆茎疫病,Broad bean bacterial stem blight
蚕豆轮纹病,Broad bean Cercospora leaf spot
蚕豆黄萎病,Broad bean Verticillium wilt
蚕豆立枯病,Broad bean Rhizoctonia rot
蚕豆菌核病,Broadbean cottony soft rot
蚕豆叶烧病,Broad bean bacterial leaf blight
蚕豆(BYMV)花叶病,nan
蚕豆萎蔫病毒病, Broad bean wilt
蚕豆核盘菌茎腐病,Bean Sclerotinia ashy-stem blight
蚕豆染色病毒(BBSV)病,nan
斑缘豆粉蝶,Asian pale clouded yellow
蚕豆象,Broadbean weevil
蚕豆修尾蚜,Vicia aphid
黄花菜锈病,nan
黄花菜白绢病,nan
黄花菜叶枯病,nan
黄花菜黑斑病,nan
黄花菜炭疽病,nan
黄花菜霉杆病,nan
黄花菜根腐病,nan
黄花菜病毒病,nan
刺足根螨,nan
枸杞白粉病,Lycium powdery mildew
枸杞炭疽病,Lycium anthracnose
枸杞灰斑病,Lycium grey spot
枸杞根腐病,Lycium root rot
枸杞负泥虫,Ten-spotted Iema
枸杞蚜虫,nan
枸杞木虱,nan
三点盲蝽,nan
芦笋茎枯病,nan
芦笋紫斑病,nan
芦笋冠腐病,nan
芦笋炭疽病,nan
芦笋立枯病,nan
芦笋灰霉病,nan
芦笋叶枯病,nan
芦笋疫霉根腐病,nan
芦笋斑点病,nan
芦笋紫纹羽病,nan
芦笋病毒病,nan
甘蓝夜蛾,Cabbage moth
粘虫,oriental armyworm，rice armyworm，rice earcutting caterpillar
小造桥虫,Yellow cotton moth
大造桥虫,Mugwort looper
亚洲玉米螟,Asiatic corn borer
蒙古土象,nan
十四点负泥甲,nan
灰地种蝇,Seed maggot
莲藕腐败病,Lotus root rhizome rot
莲藕尾孢褐斑病,Lotus Cercospora leaf spot
莲藕褐纹病,Lotus root Alternaria leaf spot
莲藕炭疽病,Lotus root anthracnose
莲藕叶疫病,Lotus leaf blight
莲藕叶点霉烂叶病,Lotus Phyllosticta leaf spot
莲藕棒孢褐斑病,Lotus brown leaf spot
莲藕假尾孢褐斑病,Lotus root Pseudocercospora brown spot
莲藕小菌核叶腐病,Lotus Sclerotium leaf rot
莲藕病毒病,nan
莲缢管蚜,Water lily aphid
莲潜叶摇蚊,lotus lily midge
茭白纹枯病,Water bamboo sheath blight
茭白瘟病,Water bamboo Pyricularia leaf spot
莲藕根金花虫,rice rootworm
茭白胡麻斑病,Water bamboo Helminthosporium leaf spot
茭白锈病,Water bamboo leaf rust
茭白黑粉病,Water bamboo rhizome smut
二化螟,Asiatic rice borer
长绿飞虱,Green slender planthopper
白背飞虱,White-backed planthopper
灰飞虱,rice planthopper
慈姑黑粉病,Arrowhead leaf smut
慈姑斑纹病,Arrowhead Cercospora leaf spot
慈姑褐斑病,Arrowhead brown leaf spot
慈姑钻心虫,nan
荸荠杆枯病,Chufa stem rot
荸荠球茎灰霉病,nan
荸荠枯萎病,nan
荸荠茎腐病,nan
荸荠白禾螟,Mat-rush pyralid
黄色白禾螟,nan
中华蚱蜢,nan
蘑菇褐腐病,Mushroom tan rot
蘑菇褐斑病,Mushroom tan disease
蘑菇猝倒病,Mushroom damping off
佛手瓜蔓枯病,Chayote Ascochyta stem blight
佛手瓜叶点病,Chayote Phyllosticta leafspot
苦瓜白斑病,Balsam pear Cercospora leaf spot
苦瓜白粉病,Balsam pear powdery milde
苦瓜霜霉病,Balsam pear downy milde
苦瓜炭疽病,Balsam pear anthracnose
苦瓜叶枯病,Balsam pear Alternaria blight
苦瓜斑点病,Balsam pear Phyllosticta leaf spot
苦瓜疫病,Balsam pear Phytophthora blight
苦瓜枯萎病,Balsam pear Fusarium wilt
苦瓜根腐病,Balsam pear Fusarium root rot
苦瓜白绢病,nan
苦瓜猝倒病,nan
苦瓜菌核病,Balsam pear Sclerotinia rot
苦瓜根结线虫病,Balsam pear root-knot nematode disease
苦瓜灰斑病,Balsam pear gray leaf spot
苦瓜蔓枯病,Balsam pear gummy stem blight
苦瓜立枯病,Balsam pear Rhizoetonia rot
苦瓜细菌性角斑病,Balsam pear angular leaf spot
苦瓜病毒病,Balsam pear mosaic disease
苦瓜根霉果腐病,Balsam pear Rhizopus rot
苦瓜裂果,nan
菜豆红斑病,Bean Cercospora leaf spot
菜豆白绢病,Bean southern blight
菜豆炭腐病,Bean charcoal rot
菜豆茎基腐病,Bean Rhizoctonia rot
菜豆灰霉病,Bean gray mold
菜豆轮纹病,Bean zonate spot
菜豆锈病,Bean rust
菜豆炭疽病,Bean anthracnose
菜豆黑斑病,Bean leaf spot
菜豆菌核病,Bean Sclerotinia blight
菜豆褐斑病,Bean Cercospora leaf spot
菜豆根腐病,Bean Fusarium root-rot
菜豆枯萎病,Bean Fusarium wilt
菜豆角斑病,Bean angular leaf spot
菜豆细菌性疫病,Bean bacterial common blight
菜豆细菌性晕疫病,Bean bacterial halo-blight
菜豆花叶病,Bean virus disease
菜豆斑点病,Bean Phyllosticta leaf spot
菜豆白粉病,Bean powdery mildo
菜豆腐霉病,Bean Pythium rot
菜豆污煤病,Bean Cercospora leaf spot
菜豆根霉软腐病,Bean Rhizopus soft rot
菜豆(链格孢)黑斑病,Bean Alternaria leaf spot
菜豆细菌性叶斑病,Bean bacterial leaf spot
稀点雪灯蛾,White-wing blake-dotted moth
白雪灯蛾,Snowy-white tiger moth
双斑萤叶甲,Double-spotted leaf beetle
斑鞘豆叶甲,Bean leaf beetle
豆叶螨,Sagami spider mite
截形叶螨,Ishil spider mite
豇豆疫病,Co可湿性粉剂ea Phytophthora blight
豇豆煤霉病,Co可湿性粉剂ea sooty blotch
豇豆枯萎病,Co可湿性粉剂ea Fusarium wilt
豇豆锈病,Co可湿性粉剂ea rust
豇豆白粉病,Co可湿性粉剂ea powdery milde
豇豆白绢病,Co可湿性粉剂ea southern blight
豇豆基腐病,Co可湿性粉剂ea Rhizoctonia rot
豇豆根腐病,Co可湿性粉剂ea Fusarium root rot
豇豆灰霉病,Co可湿性粉剂ea gray mold
豇豆褐斑病,Co可湿性粉剂ea brown leaf spot
豇豆红斑病,Co可湿性粉剂ea Cercospora leaf spot
豇豆菌核病,Co可湿性粉剂ea Sclerotinia blight
豇豆斑枯病,Co可湿性粉剂ea Septoria leaf spot
豇豆立枯病,Co可湿性粉剂ea Rhizoctonia rot
豇豆根结线虫病,Co可湿性粉剂ea root-knot nematode disease
豇豆细菌性疫病,Co可湿性粉剂ea bacterial common blight
豇豆炭疽病,Co可湿性粉剂ea anthracnose
豇豆轮纹病,Co可湿性粉剂ea zonate leaf spot
豇豆角斑病,Co可湿性粉剂ea angular leaf spot
豇豆茎枯病,Co可湿性粉剂ea ashy-stem blight
豇豆灰斑病,Co可湿性粉剂ea Corynespora leaf spot
豇豆病毒病,Co可湿性粉剂ea mosaic
豇豆类菌原体丛枝病,Co可湿性粉剂ea witches’broom
毛豆锈病,Young soya bean rust
毛豆叶斑病,Young soya bean leaf spot
毛豆疫病,Young soya bean Phytophthora blight
红缘灯蛾,Red-costate tiger moth
豆杆黑潜蝇,Soybean fly
筛豆龟蝽,Globular stink bug
豆突眼长蝽,Small bean bug
毛豆褐斑病,Young soya bean brown leaf spot
毛豆黑斑病,Young soya bean Alternaria leaf spot
毛豆灰斑病,Young soya bean Cercospora leaf spot
毛豆霜霉病,Young soya bean downy milde
毛豆耙点病,Young soya bean Corynespora leaf spot
毛豆炭疽病,Young soya bean anthracnose
毛豆根腐病,Young soya bean Fusarium root rot
毛豆荚枯病,Young soya bean pod rot
毛豆赤霉病,Young soya bean Fusarium blight
毛豆枯萎病,Young soya bean Fusarium wilt
毛豆细菌斑疹病,Young soya bean bacterial pustule
毛豆病毒病,Young soya bean mosaic
毛豆孢囊线虫病,nan
毛豆菌核病,Young soya bean sclertiniose
毛豆猝倒病,Soybean damping off
毛豆立枯病,Soybean soreshin blight
毛豆黑点病,Soybean black spot
毛豆轮纹病,Soybean zonate spot
毛豆白粉病,Young soya bean powdery milde
毛豆灰星病,Young soya bean Phyllosticta leaf spot
毛豆茎枯病,nan
毛豆菌核疫病,Young soya bean sclerotium rot
毛豆煤斑病,Young soya bean sooty blotch
毛豆细菌性斑点病,Soybean bacterial blight disease
毛豆缺钾,nan
毛豆羞萎病,nan
毛豆紫斑病,Young soya bean purple blotch
毛豆棕色叶斑病,Young soya bean Macrophoma leaf spot
豌豆褐斑病,Pea Ascochyta blight
豌豆褐纹病,Pea Mycosphaerella blight
豌豆霜霉病,Pea downy milde
豌豆白粉病,Pea powdery milde
豌豆黄顶病,Pea yellow top virus
豌豆基腐病,Pea Rhizoctonia rot
豌豆黑根病,Pea Aphanomyces root rot
西葫芦灰霉病,Summer squash gray mold
西葫芦枯萎病,Summer squash Fusarium wilt
西葫芦蔓枯病,Summer squash gummy stem blight
西葫芦绵腐病,Summer squash damping off
西葫芦菌核病,Vegetable marrow Sclerotinia  fruit  rot
西葫芦褐腐病,Summer squash brown rot
西葫芦软腐病,Summer squash bacterial soft rot
西葫芦病毒病,Summer squash virus disease
西葫芦曲霉病,Summer squash Aspergillus rot
西葫芦镰刀菌果腐病,Summer squash Fusarium fruit rot
西葫芦日灼病,Summer squash suncald
西葫芦畸形瓜,nan
西葫芦化瓜,Summer squash physiological abortion
冬瓜白粉病,Chinese waxgourd powdery milde
冬瓜黑星病,nan
冬瓜霜霉病,Chinese waxgourd downy milde
冬瓜褐斑病,Chinese waxgourd Corynespora leaf spot
冬瓜炭疽病,Chinese waxgourd anthracnose
冬瓜叶斑病,Chinese waxgourd leaf spot
冬瓜疫病,Chinese waxgourd Phytophthora blight
冬瓜枯萎病,Chinese waxgourd Fusarium wilt
冬瓜蔓枯病,Chinese waxgourd gummy stem blight
冬瓜褐腐病,Chinese waxgourd brown rot
冬瓜绵腐病,nan
冬瓜细菌性角斑病,Chinese waxgourd angular leaf spot
冬瓜软腐病,Chinese waxgourd bacterial soft rot
冬瓜(叶点霉)叶斑病,Chinese waxgourd Phyllosticta leaf spot
冬瓜日灼病,Chinese waxgourd sunscald
冬瓜裂果,nan
冬瓜病毒病,Chinese waxgourd mosaic disease
冬瓜灰斑病,Chinese waxgourd gray leaf spot
冬瓜立枯病,Chinese waxgourd Rhizoctonia rot
冬瓜黑斑病,Chinese waxgourd Alternaria blight
冬瓜绵疫病,nan
冬瓜菌核病,Chinese waxgourd Sclerotinia rot
冬瓜沤根,nan
冬瓜根腐病,Chinese waxgourd root rot
黄蓟马,Honeysuckle thrips
瓠瓜霜霉病,Clavated calabash downy milde
瓠瓜白粉病,Clavated calabash powdery milde
瓠瓜炭疽病,Clavated calabash anthracnose
瓠瓜灰霉病,Clavated calabash gray mold
瓠瓜枯萎病,Clavated calabash gourd Fusarium wilt
瓠瓜褐腐病,Clavated calabash brown rot
瓠瓜绵腐病,Clavated calabash cottony leak
瓠瓜细菌性角斑病,Clavated calabash angular leaf spot
瓠瓜褐斑病,Clavated calabash Cercospora leaf spot
瓠瓜蔓枯病,Clavated calabash gummy stem blight
瓠瓜病毒病,Clavated calabash virus disease
瓠瓜果斑病,Clavated calabash fruit blotch
瓠瓜煤污病,Clavated calabash Cerospora
瓠瓜化瓜,Clavated calabash physiological abortion
丝瓜霜霉病,Vegetable sponge downy milde
丝瓜白粉病,Vegetable sponge powdery milde
丝瓜白斑病,Vegetable sponge Cercospora leaf spot
丝瓜枯萎病,Vegetable sponge Fusarium wilt
丝瓜蔓枯病,Vegetable sponge gummy stem blight
丝瓜绵腐病,Vegetable sponge cottony leak
丝瓜细菌性角斑病,Vegetable sponge angular leaf spot
丝瓜病毒病,Vegetable sponge mosaic disease
丝瓜炭疽病,Vegetable sponge anthracnose
丝瓜褐斑病,Vegetable sponge leaf spot
丝瓜疫病,Vegetable sponge Phytophthora blight
丝瓜轮纹斑病,Vegetable sponge Diplodia leaf spot
丝瓜果腐病,Vegetable sponge Rhizopus fruit rot
丝瓜根结线虫病,Vegetable sponge root-nematode disease
丝瓜化瓜,Vegetable sponge abortion
节瓜蓟马,Palm thrips
南瓜黑星病,Pumpkin scab
南瓜疫病,Pumpkin Phytophthora rot
南瓜白粉病,Pumpkin powdery milde
南瓜枯萎病,Pumpkin Fusarium wilt
南瓜白绢病,Pumpkin southern blight
南瓜病毒病,Pumpkin mosaic disease
南瓜斑点病,Pumpkin leaf spot
南瓜霜霉病,Pumpkin downy milde
南瓜角斑病,Pumpkin angular leaf spot 
南瓜灰斑病,Pumpkin Cercospora leaf spot
南瓜黑斑病,Pumpkin Alternaria black spot
南瓜炭疽病,Pumpkin anthracnose
南瓜蔓枯病,Pumpkin gummy stem blight
南瓜根结线虫病,Pumpkin root-knot nematode disease
南瓜斑枯病,pumpkin spot blight
南瓜根霉果腐病,Summer squash Rhizopus rot
南瓜褐腐病,Pumpkin brown rot
南瓜细菌性缘枯病,Pumpkin marginal blight
南瓜银叶病,Pumpkin silverleaf disease
南瓜化瓜,Pumpkin physiological abortion
飞碟瓜病毒病,UFO squash mosaic disease
飞碟瓜根霉果腐病,UFO squash Rhizopus rot
飞碟瓜褐腐病,nan
飞碟瓜灰霉病,UFO squash gray mold
飞碟瓜枯萎病,UFO squash Fusarium wilt
飞碟瓜蔓枯病,UFO squash stem blight
飞碟瓜脐腐病,UFO squash blossom end rot
飞碟瓜软腐病,UFO squash bacterial soft rot
飞碟瓜化瓜,UFO squash abortion
佛手瓜白粉病,Chayote powdery milde
佛手瓜枯萎病,Chayote Fusarium wilt
辣椒枯萎病,Pepper Fusarium wilt
辣椒猝倒病,Pepper damping off
辣椒立枯病,Pepper Rhizoctonia rot
辣椒根腐病,Pepper root rot
辣椒白绢病,Pepper Sclerotium blight
辣椒黄萎病,Pepper Verticillium wilt
辣椒细菌性叶斑病,Pepper bacterial leaf spot
辣椒青枯病,Pepper southern bacterial wilt
辣椒疮痂病,Pepper bacterial spot
辣椒软腐病,Pepper soft rot
辣椒病毒病,Pepper mosaic virus disease
辣椒叶枯病,Pepper Stemphylium leaf blight
辣椒白斑病,Pepper Stemphylium leaf spot
辣椒霜霉病,Pepper downy milde
辣椒枯顶病毒病,Sweet peper and Peper top blight virus
辣椒紫斑病,Pepper cyanidine
辣椒“虎皮”病,nan
辣椒日灼病,Pepper sunscald
辣椒苗期沤根,nan
辣椒低温冷害和冻害,Pepper chilling and freezing injury
辣椒高温病,Pepper high temperature injury
茄无网蚜,nan
辣椒实蝇,solanum fruit fly
茄子白粉病,Eggplant powdery mildew
茄子早疫病,Eggplant early blight
茄子棒孢叶斑病,Eggplant Corynespora leaf spot
茄子褐纹病,Eggplant Phomopsis rot
茄子叶霉病,Eggplant Fulvia leaf mold
茄子灰霉病,Eggplant gray mold
茄子菌核病,Eggplant Sclerotinia rot
茄子炭疽病,Eggplant anthracnose
茄子黑斑病, Eggplant black spot 
茄子白绢病,Eggplant Sclerotium blight
茄子褐色圆星病,Eggplant Cercospora leaf spot
茄子绵疫病,Eggplant Phytophthora rot
茄子猝倒病,Eggplant damping-off
茄子根腐病,Eggplant root rot
茄子黄萎病,Eggplant Verticillium wilt
茄子青枯病,Eggplant southern bacterial wilt
茄子软腐病,Eggplant soft rot
茄子病毒病,Eggplant mosaic virus disease
茄子斑枯病,Eggplant Septoria spot
茄子交链孢果腐病,Eggplant Alternaria fruit rot
茄子斑萎病毒病,Eggplant spotted wilt virus
茄根结线虫病,Eggplant root-knot nematode disease
茄子褐斑病,Eggplant Phyllosticta brown leaf spot
茄子黑枯病,Eggplant black rot
茄子拟黑斑病,Eggplant black spot
茄子赤星病,Eggplant Septoria leaf spot
茄子细轮纹病,Eggplant Phoma leaf spot
茄子褐轮纹病,Eggplant Ascochyta leaf spot
茄子煤斑病,Eggplant Pseudocercospora leaf spot
茄子红腐病,Eggplant Fusarium rot
茄子果实疫病,Eggplant Phtyophthora fruit rot
茄子花腐病,Eggplant Choanephora blossom rot
茄子黑根霉果腐病,Eggplant Rhizopus fruit rot
茄子枯萎病,Eggplant Fusarium wilt
茄子黑点根腐病,Eggplant black-dot root rot
茄子细菌性褐斑病,Eggplant necrotic leaf spot
茄子裂果,Eggplant cracking fruit
茄子畸形花,nan
茄子着色不良,nan
茄子落花,Eggplant deflorating
茄子僵果,Eggplant stiff fruit
茄子畸形果,Eggplant malformed fruit
茄子低温障碍,Eggplant low temperature injury
茄子缺素症,nan
茄黄斑螟,Eggplant borer
茄二十八星瓢虫,Eggplant lady beetle
苜蓿夜蛾,flax budworm
黄领麻纹灯蛾,Mulberry tiger moth
茄蚤跳甲,nan
黄瓜沤根,Cucumber steeping root
黄瓜白绢病,Cucumber southern blight
黄瓜叶斑病,Cucumber leaf spot
黄瓜霜霉病,Cucumber downy milde
黄瓜疫病,Cucumber Phytophthora blight
黄瓜黑星病,Cucumber scab
黄瓜白粉病,Cucumber powdery milde
黄瓜黑斑病,Cucumber Alternaria blight
黄瓜靶斑病,Cucumber Corynespora target leaf spot
黄瓜灰色疫病,Cucumber Phytophthora rot
黄瓜红粉病,Cucumber pink mold rot
黄瓜圆叶枯病,Cucumber circle leaf blight
黄瓜枯萎病,Cucumber Fusarium wilt
黄瓜蔓枯病,Cucumber gummy stem blight
黄瓜猝倒病,Cucumber damping off
黄瓜立枯病,Cucumber Rhizoctonia rot
黄瓜菌核病,Cucumber Sclerotinia rot
黄瓜细菌性角斑病,Cucumber angular leaf spot
黄瓜根结线虫病,Cucumber root-knot nematode disease
黄瓜炭疽病,Cucumber anthracnose
黄瓜灰霉病,Cucumber gray mold
黄瓜根腐病,Cucumber Fusarium root rot
黄瓜细菌性缘枯病,Cucumber marginal blight
黄瓜细菌性枯萎病,Cucumber bacterial wilt
黄瓜病毒病,Cucumber mosaic disease
黄瓜斑点病,Cucumber leaf blotch
黄瓜幼苗腐霉根腐病,Cucumber seedling Pythium root rot
黄瓜叶点霉叶斑病,Cucumber Phyllosticta leaf spot
黄瓜花腐病,Cucumber blossom blight
黄瓜软腐病,Cucumber bacterial soft rot
黄瓜细菌性圆斑病,Cucumber bacterial round spot
黄瓜绿斑花叶病,Cucumber green mottle
黄瓜真滑刃线虫病,nan
黄瓜叶烧病,Cucumber leaf burn
黄瓜生理性萎蔫,Cucumber non-infectious wilt
黄瓜叶片急性调萎,Cucumber acute leaf wilt
黄瓜高温障碍,Cucumber high temperature injury
黄瓜泡泡病,nan
黄瓜起霜果和裂果,nan
黄瓜缺素症,nan
黄瓜黄化叶,nan
黄瓜焦边叶,nan
黄瓜花斑叶,Cucumber blotch leaf
黄瓜畸形瓜和苦味瓜,nan
黄瓜花打顶,Cucumber blossom top
黄瓜化瓜,Cucumber abortion
黄瓜低温障碍,Cucumber low temperature injury
黄瓜褐脉叶,Cucumber brown vein
黄瓜瓜佬,Cucumber “little” fruit
黄瓜苗“戴帽”,Cucumber seedling “cap”
西葫芦黑星病,Summer squash scab
西葫芦白粉病,Summer squash powdery milde
西葫芦炭疽病,Vegetable marrow anthracnose
西葫芦褐斑病,Summer squash Cercospora leaf spot
蕹菜腐败病,Waterspinach Rhizoctonia rot
蕹菜病毒病,nan
蕹菜炭疽病,Waterspinach anthracnose
蕹菜细菌性叶枯病,Waterspinach bacterual leaf blight
甘薯麦蛾,Sweetpotato leaf-folder
甘薯天蛾,Sweetpotato hornworm
甘薯肖叶甲,Sweetpotato leaf beetle
茴香菌核病,Fennel Sclerotinia stem rot
茴香霜霉病,Fennel downy milde
茴香枯萎病,Fennel Fusarium wilt
茴香猝倒病,Fennel damping off
茴香立枯病,Fennel Rhizoctonia rot
茴香白粉病,Fennel powdery milde
茴香灰斑病,Fennel gray spot
茴香细菌性疫病,Fennel bacterial common blight
茴香病毒病,Fennel virus disease
茴香菟丝子危害,nan
茴香凤蝶,Yellow swallowtail bottomerfly
赤条蝽,Red-striped stink bug
茼蒿叶枯病,Garden chrysanthemum leaf blight
茼蒿炭疽病,Garden chrysanthemum anthracnose
茼蒿霜霉病,Garden chrysanthemum downy milde
茼蒿叶斑病,Garden chrysanthemum Phyllosticta leaf spot
茼蒿立枯病,Crowndaisy chrysanthemum Rhizoctonia rot
茼蒿菌核病,Crowndaisy chrysanthemum Sclerotinia disease
茼蒿细菌性萎蔫病,nan
茼蒿病毒病,Garden chrysanthemum virus disease
菜粉蝶,Cabbage butterfly
菜螟,Cabbage webworm
小菜蛾,Diamondback moth
香芹花叶病,Parsley mosaic disease
香芹软腐病,Parsley bacterial soft rot
香芹斑枯病,Parsley late blight
香芹叶斑病,Parsley early blight
香芹根腐病,Parsley early Fusarium root rot
香芹白化变异,Parsley moisture stress
芫荽立枯病,Coriander Rhizoctonia rot
芫荽灰霉病,Coriander gray mold
芫荽细菌性疫病,Coriander bacterial common blight
芫荽花叶病毒病,nan
香芹根结线虫病,Parsley root-knot nematode
香芹肥害,Parsley fertilizer iniury
芫荽叶斑病,Coriander leaf spot
芫荽菌核病,Coriander Sclerotinia rot
芫荽株腐病,Coriander Fusarium rot
芫荽白粉病,Coriander powdery milde
芫荽软腐病,Coriander bacterial soft rot
叶芥菜黑斑病,Leafmustard Alternaria leaf spot
叶芥菜黑腐病,Leafmustard black rot
叶芥菜霜霉病,Leafmustard downy milde
番茄早疫病,Tomato early blight
番茄晚疫病,Tomato late blight
番茄叶霉病,Tomato leaf mold
番茄灰叶斑病,Tomato grey leaf spot
番茄灰斑病,Tomato grey spot
番茄煤污病,Tomato sooty blotch
番茄白粉病,Tomato powdery milde
番茄斑枯病,Tomato Septoria leaf spot
番茄煤霉病,Tomato Cercospora leaf mold
番茄芝麻斑病,Tomato Helminthosporium leafspot
番茄灰霉病,Tomato gray mold
番茄白绢病,Tomato southern blight
番茄黑斑病,Tomato nail head spot
番茄假黑斑病,Tomato Alternaria black leaf spot
番茄绵腐病,Tomato cottony leak
番茄绵疫病,Tomato brown rot
番茄镰刀菌果腐病,Tomato Fusarium fruit rot
番茄酸腐病,Tomato water soft rot
番茄红粉病,Tomato pink-mold rot
番茄猝倒病,Tomato damping-off
番茄立枯病,Tomato Rhizoctonia rot
番茄枯萎病,Tomato Fusarium wilt
番茄茎基腐病,Tomato basal stem rot
番茄丛枝病,Tomato witches broom disease
番茄菌核病,Tomato stem rot
番茄假单胞果腐病,Tomato bacterial fruit rot
番茄黄萎病,Tomato Verticillium wilt
番茄疫霉根腐病,Tomato Phytophthora root rot
番茄细菌性斑疹病,Tomato bacterial leaf spot
番茄溃疡病,Tomato bacterial canker
番茄青枯病,Tomato bacterial wilt
番茄疮痂病,Tomato bacterial scab
番茄细菌性髓部坏死病,Tomato bacterial pith necrosis
番茄软腐病,Tomato soft rot
番茄条斑病毒病,Tomato streak virus disease
番茄斑萎病毒病,Tomato spotted wilt virus disease
番茄蕨叶病毒病,Tomato brake leaf virus disease
番茄花叶病毒病,Tomato mosaic virus disease
番茄根结线虫病,Tomato root-knot nematode disease
番茄斑点病,nan
番茄(匍柄霉)斑点病,Tomato Corynespora leaf spot
番茄丝核菌果腐病,nan
番茄果实牛眼腐病,Tomato Phytophthora fruit rot
番茄脐腐病,Tomato navel rot
番茄筋腐病,Tomato striped rot
番茄炭疽病,Tomato anthracnose
番茄圆纹病,Tomato fruit rot
番茄根霉果腐病,Tomato Rhizopus fruit rot
番茄青霉果腐病,Tomato blue mold fruit rot
番茄茎枯病,Tomato stem blight
番茄褐色根腐病,nan
番茄黑点根腐病,Tomato black——dot root rot
番茄曲顶病毒病,Tomato curly top virus disease
番茄巨芽病,Tomato big-bud virus disease
番茄裂果,Tomato cracking fruit
番茄变形果,Tomato deformed fruit
番茄畸形果,nan
番茄顶裂果,Tomato cracking fruit apex
番茄畸形花,Tomato deformed flower
番茄空洞果,Tomato empty fruit
番茄2，4—D药害,Tomato 2，4—D injury
番茄连作障碍,Tomato continuous cropping injury
辣椒绵腐病,Pepper soft stale disease
辣椒褐腐病,Pepper brown rot
番茄生理性卷叶病,Tomato non-infectious leaf roll
番茄芽枯病,nan
番茄低温障碍和冻害,Tomato low-temperature injury and freezing injury
番茄高温障碍,Tomato high-temperature injury
番茄缺素症,nan
番茄肥害,nan
番茄茶色果和绿背果,Tomato dark brown fruit and green back fruit
番茄细菌性褐斑病,Tomato bacterial leaf spot
番茄网筋果,nan
番茄落花落果,Tomato blossom and fruit drop
辣椒斑枯病,Pepper Septoria leaf spot
辣椒白星病,Pepper Phyllosticta blight
辣椒疫病,Pepper Phytophthora blight
辣椒早疫病,Pepper early blight
辣椒褐斑病,Pepper brown leaf spot
辣椒灰霉病,Pepper gray mold
辣椒菌核病,Pepper Sclerotinia rot
辣椒炭疽病,Pepper anthracnose
